period	aircraft_movements_cross-country_flightsÂ 	aircraft_movements_local_flights	total_flights	total_arrivals_flights	total_departures_flights	total_passengers	total_arrivals_passengers	total_departures_passengers	passengers_eu_countries	passengers_other_europe	passengers_africa	passengers_north_africa	passengers_west_africa	passengers_central_africa	passengers_east_africa	passengers_south_africa	passengers_america	passengers_north_america	passengers_central_america	passengers_south_america	passengers_asia	passengers_west_asia	passengers_south-east_asia	total_cargo	total_unloaded_cargo	total_loaded_cargo	total_mail	total_unloaded_mail	total_loaded_mail
2019-01-01	38009	515	37185	18588	18597	4996131	2520292	2475839	2856935	516166	251099	65528	63481	7115	72596	42379	771225	462521	163260	145444	600706	197945	198530	122643	63750	58894	1615	560	1055
2019-02-01	36127	434	35195	17590	17605	4836332	2386195	2450137	2874499	508787	222215	61188	51236	6866	63531	39394	678346	401645	145265	131436	552485	190308	171647	115797	57320	58476	1398	485	913
2019-03-01	40748	480	39785	19897	19888	5630314	2847589	2782725	3361481	586308	242485	72829	56000	7125	63670	42861	835790	543295	153256	139239	604250	215944	178766	144773	72679	72094	1761	705	1056
2019-04-01	42976	564	41892	20940	20952	6104010	2983771	3120239	3657659	657146	234673	77102	49749	6636	56495	44691	936294	660685	141074	134535	618238	223839	153991	126743	64164	62578	1747	707	1040
2019-05-01	45990	521	44706	22352	22354	6441473	3236047	3205426	3931201	720270	209237	54913	45509	7951	57177	43687	997494	726649	138900	131945	583271	199898	132977	133648	65668	67980	1860	796	1064
2019-06-01	44742	559	43348	21676	21672	6502588	3273870	3228718	3931186	720817	228331	65839	44209	8549	66581	43153	1027668	762961	134721	129986	594586	214493	130830	123888	61724	62164	1736	722	1014
2019-07-01	45936	492	44736	22366	22370	6724023	3166610	3557413	3992902	765263	254773	79437	46725	9217	74037	45357	1064565	777044	142481	145040	646520	243180	140403	129143	63515	65628	1876	797	1078
2019-08-01	46167	483	45122	22558	22564	6810759	3523240	3287519	4007196	797566	265412	88852	46264	8845	74963	46488	1080202	793609	143389	143204	660383	251293	144489	130581	65711	64871	1774	723	1051
2019-09-01	45302	456	44131	22075	22056	6493468	3252568	3240900	3910988	738239	239167	70998	45971	7239	68768	46191	998333	736288	131848	130197	606741	214544	137525	136819	69627	67192	1747	735	1012
2019-10-01	45643	546	44502	22251	22251	6431122	3227860	3203262	3865499	739205	248898	75847	49117	6570	68932	48432	964346	684886	140033	139427	613174	225690	138445	143579	73464	70115	1974	824	1149
2019-11-01	38828	494	37800	18901	18899	5323306	2668379	2654927	3173596	543442	233782	67705	52026	6502	60374	47175	795614	504089	150620	140905	576872	211274	148528	136256	69561	66695	2133	883	1250
2019-12-01	39257	515	38425	19213	19212	5386203	2640064	2746139	3152275	546122	242028	70033	54524	7880	61255	48336	855812	550494	157646	147672	589966	222175	158395	126376	64415	61961	2338	958	1381
2020-01-01	38410	468	37567	18784	18783	5074773	2561003	2513770	2932396	520311	243533	66931	56185	7493	64933	47991	787734	481908	159765	146061	590799	216030	159427	113080	60639	52441	1908	777	1131
2020-02-01	35942	486	34979	17492	17487	4719769	2342660	2377109	2828259	502396	229851	67910	51026	7044	58870	45001	712192	423686	154658	133848	447071	201699	141678	116293	56776	59517	1491	602	890
2020-03-01	25883	529	25155	12626	12529	2476372	1298133	1178239	1387274	254661	145163	39428	33009	3890	36374	32462	436831	243685	105520	87626	252443	110189	97016	120481	61717	58764	1167	511	656
2020-04-01	4583	371	4236	2118	2118	126015	70038	55977	55435	12252	2875	641	266	139	271	1558	30099	20466	4611	5022	24851	6143	9379	93255	48036	45219	382	91	290
2020-05-01	6347	403	5873	2930	2943	207827	109314	98513	110706	20840	3741	2230	442	99	275	695	42055	27209	5892	8954	30485	5066	11729	104745	57739	47005	542	161	381
2020-06-01	8797	422	8108	4057	4051	471410	229128	242282	270952	67293	7540	1374	798	538	996	3834	74685	52137	9162	13386	50940	10856	21433	108164	56267	51897	855	313	542
2020-07-01	16789	430	15702	7831	7871	1338857	608849	730008	938685	175713	21975	11255	1781	45	4425	4469	124208	72435	37122	14651	78276	26724	25566	119634	62053	57581	1083	402	681
2020-08-01	24093	519	23125	11545	11580	1854786	983983	870803	1366505	242006	24178	7122	1573	1120	9960	4403	147032	78145	49609	19278	75065	27925	17882	119975	63088	56887	1283	461	822
2020-09-01	23046	442	22162	11087	11075	1337741	684061	653680	937298	165423	29625	10066	6958	1015	8719	2867	132894	66307	44523	22064	72501	24604	16689	124491	65318	59173	1251	522	729
2020-10-01	20306	378	19614	9801	9813	1143483	576128	567355	729708	144781	46151	16735	8490	1366	13777	5783	146461	66842	55488	24131	76382	30709	17506	140140	74472	65668	1521	651	871
2020-11-01	15382	402	14858	7433	7425	900434	451046	449388	503689	125461	45128	12779	8603	1344	13427	8975	154035	66435	62803	24797	72121	29950	22493	145474	77184	68289	1511	696	815
2020-12-01	16576	397	15896	7956	7940	1233043	580297	652746	685753	150316	79232	24375	15922	2209	20942	15784	227504	103297	76657	47550	90238	44781	25330	135866	71116	64751	1837	923	913
2021-01-01	15181	458	14666	7317	7349	869129	463793	405336	396818	156646	63849	17691	14618	1708	19003	10829	174464	82135	58028	34301	77352	37553	22350	133222	72074	61148	1403	692	711
2021-02-01	11083	409	10655	5328	5327	505194	253143	252051	256374	71257	35977	13126	6893	803	13061	2094	88342	35111	41780	11451	53244	24888	18262	125137	67370	57766	1109	563	546
2021-03-01	12905	466	12217	6112	6105	660176	331608	328568	319392	111563	36634	4694	11017	1379	14671	4873	123707	48381	53803	21523	68880	31593	22014	153206	80424	72782	1379	732	647
2021-04-01	14489	402	13720	6855	6865	786652	386810	399842	382479	153649	42789	5635	14411	1588	14769	6386	128293	59973	41933	26387	79442	38019	21444	141132	72702	68431	1258	650	608
2021-05-01	16628	439	15576	7790	7786	1106740	552079	554661	608518	196057	49758	5975	14652	2419	18154	8558	169040	90218	54549	24273	83367	40749	21106	147017	78021	68997	1223	633	590
2021-06-01	20494	466	19195	9593	9602	1678265	816099	862166	966229	265250	77058	20564	17492	2947	24768	11287	269639	152456	80783	36400	100089	47623	26362	137956	71334	66622	1128	581	547
2021-07-01	30496	390	29141	14563	14578	3029951	1378580	1651371	1817411	485878	138555	66288	23884	3148	33409	11826	442554	250840	140466	51248	145553	82938	31657	130664	63698	66966	978	484	494
2021-08-01	33118	430	31847	15929	15918	3786973	2002462	1784511	2300080	639323	156726	80943	23520	3328	36716	12219	522054	301725	154481	65848	168790	99406	33806	130844	68453	62392	1049	538	511
2021-09-01	31820	538	30019	15009	15010	3370205	1718856	1651349	2080979	596312	118090	44148	23202	3005	34362	13373	435718	241557	120547	73614	139106	75464	30401	133245	68358	64886	1002	535	468
2021-10-01	33037	428	31324	15655	15669	3745991	1907661	1838330	2204098	774710	118666	31886	25769	3376	37549	20086	475162	234121	148366	92675	173355	104283	37117	149383	77326	72057	1040	579	461
2021-11-01	29730	394	28371	14195	14176	3095823	1551581	1544242	1590431	682935	116795	18036	32834	3721	37766	24438	518786	254593	164111	100082	186876	112633	47219	143831	75894	67936	943	495	447
2021-12-01	31358	423	30225	15120	15105	2855711	1329625	1526086	1369691	555002	122891	22474	38592	3520	37607	20698	593224	310974	177547	104703	214903	128246	60260	141667	73587	68080	1038	603	435
2022-01-01	27131	476	26231	13099	13132	2488083	1334253	1153830	1180918	483795	123579	19715	36233	2778	40535	24318	522154	234824	182605	104725	177637	101785	53922	122553	65572	56981	827	440	387
2022-02-01	25198	333	24129	12070	12059	2660676	1311499	1349177	1334191	571130	120084	28837	28639	2459	34753	25396	455413	191060	161686	102667	179858	112424	50494	118274	60095	58179	824	445	378
2022-03-01	31821	455	30382	15200	15182	3732048	1911518	1820530	1865976	840749	150522	41401	34555	3163	38337	33066	632949	333806	178404	120739	241852	156282	68398	128198	62861	65337	819	452	366
2022-04-01	35035	494	33421	16680	16741	4434587	2141978	2292609	2222148	1030251	160086	37546	40773	3116	39827	38824	766641	480869	156643	129129	255461	154179	79427	116895	58694	58201	688	375	313
2022-05-01	40208	478	38419	19205	19214	5217035	2674745	2542290	2692816	1198188	168827	50612	37188	4939	41689	34399	861886	580872	150821	130193	295318	167706	101792	119478	58583	60895	685	349	336
2022-06-01	39103	475	36919	18463	18456	5232630	2630931	2601699	2623208	1184688	181674	52544	41361	5125	47889	34755	938211	676303	137808	124100	304849	164309	112717	116274	58572	57702	667	340	327
2022-07-01	38012	531	36000	17982	18018	5179725	2484720	2695005	2532730	1082500	205667	57859	43331	6446	56975	41056	999352	691674	172520	135158	359476	197243	125850	120131	60611	59521	584	303	280
2022-08-01	39284	535	37730	18861	18869	5327361	2790696	2536665	2619575	1124171	226753	74170	45443	5824	60025	41291	988004	682271	169522	136211	368858	207584	121306	116876	58086	58790	549	305	244
2022-09-01	39029	542	37027	18518	18509	5196931	2627876	2569055	2549113	1156391	206825	58834	43417	5146	58726	40702	929705	648794	143954	136957	354897	194317	117274	121508	60869	60639	538	260	278
2022-10-01	38087	597	36361	18189	18172	4912421	2489573	2422848	2333504	1109970	213876	63664	43707	5921	59995	40589	899342	599749	159460	140133	355729	196436	118928	125358	63315	62044	465	216	249
2022-11-01	31672	468	30348	15178	15170	3987405	2009494	1977911	1775754	917195	203962	63311	44692	3418	53320	39221	720012	435259	165846	118907	370482	189969	134991	119074	59228	59846	461	213	248
2022-12-01	31884	448	30669	15329	15340	4101978	1988941	2113037	1772592	937130	227449	68376	46733	3684	58679	49977	770908	469135	169659	132114	393899	200681	141236	113118	56227	56891	608	339	268
2023-01-01	31055	501	29987	14994	14993	3896388	1993408	1902980	1686929	870269	230618	65560	48686	3923	62118	50331	720658	410528	175601	134529	387914	190996	138931	103981	55477	48504	478	260	218
2023-02-01	29446	467	28345	14175	14170	3782228	1868419	1913809	1702828	866283	211776	62002	41583	3626	59462	45103	632782	353704	155418	123660	368559	180000	118650	109035	55793	53242	440	221	219
2023-03-01	34653	545	33128	16561	16567	4585101	2349324	2235777	2093162	1036743	224790	68875	45887	4143	57706	48179	812595	514203	165451	132941	417811	204809	124402	121746	64774	56972	457	217	240
2023-04-01	37777	492	36258	18126	18132	5128555	2512795	2615760	2433083	1153872	194201	58469	46850	3652	41761	43469	899023	624690	146467	127866	448376	207767	118478	113459	61530	51929	430	190	240
2023-05-01	41298	584	39568	19788	19780	5599870	2851081	2748789	2741697	1264524	199215	65824	42018	5550	46711	39112	937340	669441	142278	125621	457094	206441	128053	117999	66022	51977	471	204	267
2023-06-01	40723	541	38912	19449	19463	5664120	2838595	2825525	2753096	1260163	204902	57620	43863	4618	56712	42089	968591	710977	134727	122887	477368	210461	129750	112994	61981	51014	447	199	248
2023-07-01	42541	539	40965	20476	20489	6009315	2870399	3138916	2933590	1310921	232032	74769	46551	7076	59094	44542	996361	710246	149249	136866	536411	250588	136016	113536	59753	53783	407	181	226
2023-08-01	42932	525	41584	20798	20786	6052884	3138382	2914502	2947664	1330525	241116	83391	47029	5806	60798	44092	1001046	719840	148600	132606	532533	255140	129804	110126	56364	53762	454	225	229
